query,source,doi,title,year,venue,authors,abstract,url,problem_claimed,mechanism,hidden_assumptions,fixed_variables,failure_modes,novelty_effect,open_questions
robot topology change detection,crossref,10.1109/lsp.2018.2819127,Blind Graph Topology Change Detection,2018,IEEE Signal Processing Letters,"Isufi, Elvin, Mahabir, Ashvant S. U., Leus, Geert",,https://doi.org/10.1109/lsp.2018.2819127,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/robot.2003.1241820,TopBot: automated network topology detection with a mobile robot,None,2003 IEEE International Conference on Robotics and Automation (Cat. No.03CH37422),"Blaer, P., Allen, P.K.",,https://doi.org/10.1109/robot.2003.1241820,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1080/2150704x.2015.1109155,Fuzzy topology–based method for unsupervised change detection,2015,Remote Sensing Letters,"Shi, Wenzhong, Shao, Pan, Hao, Ming, He, Pengfei, Wang, Jianming",,https://doi.org/10.1080/2150704x.2015.1109155,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/case59546.2024.10711744,Topology Mapping and Connectivity Detection for Autonomous Mobile Robot Systems,2024,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),"Hou, Jingfu, Zhao, Ziyan, Liu, Shixin, Yang, Dawei",,https://doi.org/10.1109/case59546.2024.10711744,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,map updates are sufficiently local and observable from sensors; topology can be represented reliably in a graph or symbolic abstraction,sensor noise model; workspace discretization,sensitive to perceptual aliasing and unobserved occlusions,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1017/s0263574797000489,Parallel topology robot calibration,1997,Robotica,"Lintott, A. B., Dunlop, G. R.",A calibration method for a Stewart platform has been developed as part of a project aimed at developing a calibration method for a Delta robot. The Delta has 3 degrees of freedom (DOF) but is more complex than the Stewart platform for calibration purposes because an extra link is inserted in each kinematic chain between the base and the Nacelle member.,https://doi.org/10.1017/s0263574797000489,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1145/3409501.3409532,Network Topology Change Detection Based on Statistical Process Control,2020,Proceedings of the 2020 4th High Performance Computing and Cluster Technologies Conference &amp; 2020 3rd International Conference on Big Data and Artificial Intelligence,"Liu, Yan, Liu, Lian, Yan, Yu",,https://doi.org/10.1145/3409501.3409532,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.3390/rs13163171,Unsupervised Change Detection Using Fuzzy Topology-Based Majority Voting,2021,Remote Sensing,"Shao, Pan, Shi, Wenzhong, Liu, Zhewei, Dong, Ting","Remote sensing change detection (CD) plays an important role in Earth observation. In this paper, we propose a novel fusion approach for unsupervised CD of multispectral remote sensing images, by introducing majority voting (MV) into fuzzy topological space (FTMV). The proposed FTMV approach consists of three principal stages: (1) the CD results of different difference images produced by the fuzzy C-means algorithm are combined using a modified MV, and an initial fusion CD map is obtained; (2) by using fuzzy topology theory, the initial fusion CD map is automatically partitioned into two parts: a weakly conflicting part and strongly conflicting part; (3) the weakly conflicting pixels that possess little or no conflict are assigned to the current class, while the pixel patterns with strong conflicts often misclassified are relabeled using the supported connectivity of fuzzy topology. FTMV can integrate the merits of different CD results and largely solve the conflicting problem during fusion. Experimental results on three real remote sensing images confirm the effectiveness and efficiency of the proposed method.",https://doi.org/10.3390/rs13163171,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; map updates are sufficiently local and observable from sensors; topology can be represented reliably in a graph or symbolic abstraction,sensor noise model; workspace discretization,false alarms from temporary clutter; sensitive to perceptual aliasing and unobserved occlusions,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.23919/mva57639.2023.10215686,Lifelong Change Detection: Continuous Domain Adaptation for Small Object Change Detection in Everyday Robot Navigation,2023,2023 18th International Conference on Machine Vision and Applications (MVA),"Takeda, Koji, Tanaka, Kanji, Nakamura, Yoshimasa",,https://doi.org/10.23919/mva57639.2023.10215686,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion,planner and cost function,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1201/9781315221090-8,Internet Topology Change,2018,Advanced Router Architectures,,,https://doi.org/10.1201/9781315221090-8,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1201/9781420026849.ch2,Internet Topology Change,2005,Advanced Router Architectures,,,https://doi.org/10.1201/9781420026849.ch2,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1007/978-981-10-5532-4,Topology Design of Robot Mechanisms,2018,,"Yang, Ting-Li, Liu, Anxin, Shen, Huiping, Hang, LuBin, Luo, Yufeng, Jin, Qiong",,https://doi.org/10.1007/978-981-10-5532-4,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1007/bf00047283,Topology and the robot arm,1988,Acta Applicandae Mathematicae,"Gottlieb, Daniel H.",,https://doi.org/10.1007/bf00047283,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1007/1-4020-4266-3_05,TOPOLOGY OF ROBOT MOTION PLANNING,None,"NATO Science Series II: Mathematics, Physics and Chemistry Morse Theoretic Methods in Nonlinear Analysis and in Symplectic Topology","FARBER, MICHAEL",,https://doi.org/10.1007/1-4020-4266-3_05,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,planner and cost function; workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1017/cbo9780511622724.019,Topology and topology change in general relativity,1993,The Renaissance of General Relativity and Cosmology,"Gibbons, Gary W.",,https://doi.org/10.1017/cbo9780511622724.019,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1088/0264-9381/10/s/007,Topology and topology change in general relativity,1993,Classical and Quantum Gravity,"Gibbons, G W",,https://doi.org/10.1088/0264-9381/10/s/007,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.3169/itej.63.516,Topology Change Detection and Interactive Mesh Editing for Time-Varying Meshes,2009,The Journal of The Institute of Image Information and Television Engineers,"Yamasaki, Toshihiko, Hamazaki, Yuuki, Aizawa, Kiyoharu",,https://doi.org/10.3169/itej.63.516,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1016/j.ijepes.2022.108634,Power grid surveillance: Topology change detection system using power line communications,2023,International Journal of Electrical Power &amp; Energy Systems,"Hernandez Fernandez, Javier, Omri, Aymen, Di Pietro, Roberto",,https://doi.org/10.1016/j.ijepes.2022.108634,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.3151/jact.16.416,PC Tendon Damage Detection Based on Change of Phase Space Topology,2018,Journal of Advanced Concrete Technology,"Tuttipongsawat, Porjan, Sasaki, Eiichi, Suzuki, Keigo, Kuroda, Takuya, Takase, Kazuo, Fukuda, Masato, Ikawa, Yoshiaki, Hamaoka, Koji",,https://doi.org/10.3151/jact.16.416,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/glocom.2017.8253956,A Hypothesis Test for Topology Change Detection in Wireless Sensor Networks,2017,GLOBECOM 2017 - 2017 IEEE Global Communications Conference,"Nagananda, K. G., Murthy, Chandra R.",,https://doi.org/10.1109/glocom.2017.8253956,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.46519/ij3dptdi.949781,TOPOLOGY OPTIMIZATION OF MOBILE TRANSPORTATION ROBOT,2021,International Journal of 3D Printing Technologies and Digital Industry,"DEMİR, Neslihan, SUCUOĞLU, Hilmi Saygın, BÖĞREKCİ, İsmail, DEMİRCİOĞLU, Pınar","The main aim of this study was to decrease the weight of mobile transportation robots and to check the optimized shape using topology optimization and structural analysis. The analyses were applied using CAE Software with the methods of topology optimization and structural analysis. In the topology optimization process, the preserved areas were defined for connection and fixing areas. The aim was to decrease the weight of the robot structure and lower the energy consumption of the robotic system. After topology optimization, the structural strength analysis was applied to the new optimized structure to check the strength. The weight of the structure was decreased with a ratio of 20%. In addition to this, the structural strength of the robot was observed similar to the original body with the factor of safety value as three.",https://doi.org/10.46519/ij3dptdi.949781,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/his.2010.5600785,Modular robot with adaptive connection topology,2010,2010 10th International Conference on Hybrid Intelligent Systems,"Hartono, Pitoyo, Nakane, Aito",,https://doi.org/10.1109/his.2010.5600785,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/aero55745.2023.10115720,Gripping Aerial Topology Optimized Robot (GATOR),2023,2023 IEEE Aerospace Conference,"Guibert, Alexandre T., Chambers, Robert J., Cao, Pengcheng, Kim, H. Alicia, Cai, Shengqiang, Kuester, Falko",,https://doi.org/10.1109/aero55745.2023.10115720,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1088/0264-9381/10/8/001,Skyrmions and topology change,1993,Classical and Quantum Gravity,"Gibbons, G W",,https://doi.org/10.1088/0264-9381/10/8/001,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1103/physrevlett.69.1719,Kinks and topology change,1992,Physical Review Letters,"Gibbons, G. W., Hawking, S. W.",,https://doi.org/10.1103/physrevlett.69.1719,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1142/s0219887814500789,Anomaly and topology change,2014,International Journal of Geometric Methods in Modern Physics,"Tanaka, Izumi",The purpose of this study is to examine the effect of topology change on anomaly in the initial universe. G-cobordism is introduced to argue about the topology change accompanied by gauge group. Our results revealed that change of anomalies results from topology change.,https://doi.org/10.1142/s0219887814500789,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1007/978-3-030-33319-5_4,Automatic Topology Detection,2020,Computer Communications and Networks Real-time Communication Protocols for Multi-hop Ad-hoc Networks,"Gotzhein, Reinhard",,https://doi.org/10.1007/978-3-030-33319-5_4,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
